City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
411,Sagua La Grande,CU,78.49,clear sky,22.8067,-80.0756,Hotel Telégrafo
412,Kimbe,PG,79.47,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
413,Liku,ID,84.16,broken clouds,-0.7275,119.8922,Kost annisa
415,Atambua,ID,86.65,broken clouds,-9.1061,124.8925,Ros Muskanan
416,Mulege,MX,83.57,overcast clouds,26.8833,-111.9833,Casa Granada
417,Beirut,LB,75.38,scattered clouds,33.8889,35.4944,"Crowne Plaza Beirut, an IHG Hotel"
418,Kulhudhuffushi,MV,81.73,few clouds,6.6221,73.07,Haajy Guest House 1
419,Villanueva,HN,75.04,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
420,Tshikapa,CD,75.92,overcast clouds,-6.4167,20.8,Tatem beach
421,Saint-Paul,RE,75.31,broken clouds,-21.0096,55.2707,Boucan Canot
422,Mogadishu,SO,80.2,scattered clouds,2.0371,45.3438,Hotel Juba
423,Chifeng,CN,76.48,broken clouds,42.2683,118.9636,Junyu Tiancheng Hotel
424,Rabaul,PG,81.3,light rain,-4.1967,152.1721,Rabaul Hotel
426,Barmer,IN,88.56,clear sky,25.75,71.3833,Jain Dharamshala
427,Phanom Sarakham,TH,89.83,overcast clouds,13.7479,101.3553,SC Resort
428,Sergeyevka,KZ,76.41,clear sky,53.88,67.4158,Amina
429,Manokwari,ID,82.42,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
430,Fereydun Kenar,IR,80.31,broken clouds,36.6864,52.5225,Khezer Shahr Tourist Hotel
431,Katobu,ID,87.22,overcast clouds,-4.9408,122.5276,La Ode Husein
432,Kendari,ID,84.78,broken clouds,-3.945,122.4989,Hotel Wixel
433,Pitogo,PH,83.53,light rain,13.7847,122.0881,Ricronald
434,Itacoatiara,BR,79.97,scattered clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
436,Sao Felix Do Xingu,BR,75.42,scattered clouds,-6.6447,-51.995,Rio Xingu Camping
437,Chadiza,ZM,76.3,clear sky,-14.0678,32.4392,Sankhani Guest House
438,Morant Bay,JM,77.7,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
439,Bintulu,MY,80.47,overcast clouds,3.1667,113.0333,900 Boutique INN
440,Altamira,BR,77.22,scattered clouds,-3.2033,-52.2064,Requinte Hotel
441,Kingston,JM,77.23,broken clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
442,Whithorn,JM,81.45,broken clouds,18.2604,-78.0378,Sunset Heal
443,Brownwood,US,81.72,clear sky,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
444,Ambovombe,MG,76.3,clear sky,-25.1667,46.0833,RELAHARA
445,Antalaha,MG,75.09,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
446,Jian,CN,89.78,scattered clouds,27.1172,114.9793,Luling International Hotel
447,Pakxan,LA,88.57,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
448,Wucheng,CN,77.38,overcast clouds,29.6008,118.175,Xiuwu Restaurant
449,Batticaloa,LK,86.52,clear sky,7.7102,81.6924,Grand Star Guest House
450,Dawlatabad,AF,86.09,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
451,Aktau,KZ,79.38,scattered clouds,43.65,51.2,Silk Way Hotel
452,Frontera,MX,81.32,clear sky,26.9333,-101.45,Fiesta Inn Monclova
453,San Fernando,PH,82.53,light rain,15.0286,120.6898,Maharlika Hostel
454,Itaituba,BR,80.83,overcast clouds,-4.2761,-55.9836,Hotel Campos
455,Karatau,KZ,77.47,clear sky,43.1667,70.4667,Baza Zika
456,Awbari,LY,84.72,clear sky,26.5921,12.7805,فندق أوباري
457,Pa Sang,TH,88.86,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
458,Zhanakorgan,KZ,87.93,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
459,Nara,JP,77.5,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
460,Miami,US,83.01,broken clouds,25.7743,-80.1937,Miami Sun Hotel- Downtown/Port of Miami
