City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
222,Cataguases,BR,-21.3892,-42.6967,72.66,88,92,0.49,heavy intensity rain
223,Aklavik,CA,68.2191,-135.0107,43.68,63,41,8.21,scattered clouds
224,Barentu,ER,15.1139,37.5928,75.56,59,25,2.71,scattered clouds
225,Ambon,ID,-3.6954,128.1814,86.14,74,40,6.91,scattered clouds
226,Hofn,IS,64.2539,-15.2082,51.13,92,99,15.3,overcast clouds
227,Longyearbyen,SJ,78.2186,15.6401,35.44,69,40,31.07,scattered clouds
228,Aripuana,BR,-9.1667,-60.6333,75.51,69,34,1.3,scattered clouds
229,San Patricio,US,28.017,-97.5169,82.89,72,0,6.29,clear sky
230,Quatre Cocos,MU,-20.2078,57.7625,76.08,74,43,18.43,scattered clouds
231,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,76.93,65,0,2.3,clear sky
232,Koroni,GR,36.8,21.95,73.08,68,36,4.12,scattered clouds
233,Caravelas,BR,-17.7125,-39.2481,71.02,92,70,7.23,broken clouds
234,Boa Vista,BR,2.8197,-60.6733,73.38,88,75,3.44,broken clouds
235,Lakhisarai,IN,25.1768,86.0932,89.4,65,86,14.32,overcast clouds
236,Ust-Kuyga,RU,70.0167,135.6,33.55,95,100,5.39,light snow
237,Lata,PT,40.1629,-8.3327,65.07,88,1,2.55,clear sky
238,Kavieng,PG,-2.5744,150.7967,83.61,65,56,7.27,broken clouds
239,Ambilobe,MG,-13.2,49.05,84.94,26,17,8.84,few clouds
240,Snyder,US,32.7179,-100.9176,78.31,53,0,0.0,clear sky
241,Cayenne,GF,4.9333,-52.3333,75.24,94,40,1.14,scattered clouds
242,Yumen,CN,40.2833,97.2,77.34,17,10,14.47,clear sky
243,Lucapa,AO,-8.4192,20.7447,74.52,65,75,3.06,broken clouds
244,Orangeburg,US,33.4918,-80.8557,71.89,91,20,1.01,few clouds
245,Salalah,OM,17.0151,54.0924,81.03,75,97,6.8,overcast clouds
246,Lethem,GY,3.3803,-59.7968,72.88,94,100,6.89,moderate rain
247,Margate,GB,51.3813,1.3862,54.7,81,53,2.75,broken clouds
